data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
0,0,"In the Netherlands, which of the following is an unusual common public practice?",Cycle everywhere,Using deodorant,Tipping generously,Talking loudly on the phone.,C,Netherlands
1,1,"In Korean dining etiquette, what is a common practice regarding drinks and paying for the meal?",Everyone pays for their own meal and drinks.,Younger people pour drinks for the elders and the elders pay for the meal.,"The person who is older always pays, regardless of who did the invitation","It's common to split the bill evenly amongst all diners, regardless of age.",B,South Korea
2,2,What is not an uncommon aspect in Nigeria?,Emphasis on community and collective responsibility,Celebrating Thanksgiving,Individualism and self-reliance,Large-scale consumption of fast food as a cultural practice.,B,Nigeria
3,3,Which is the preferred way of cooking eggs for Spanish people?,Scrambled,Poached,Omelette,Over-easy,C,Spain
4,4,"In Moroccan culture, how do people typically greet people they know on the street?","By saying ""peace be upon you""","By saying ""hello""",By hugging them,By giving a casual nod.,A,Morocco
5,5,"In India, what are the common tools people do not use to consume food?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) With their hands
(ii) With chopsticks
(iii) With a knife and fork
(iv) With a spoon and fork.","i, iii","iii, iv","ii, iii","i, ii, iii, iv",C,India
6,6,"In UK culture, which sport is considered one of the most significant parts of its culture?",Football,Baseball,American Football,Basketball.,A,United Kingdom
7,7,"In Vietnamese culture, what is a favorite dish to pair with rice in a family dinner meal?",Blended plant-based broth,Stir-fried vegetable,A bowl of steamed rice,Fish sauce,B,Vietnam
8,8,"In Malaysian culture, how should one give or receive items to show respect?",With the right hand or both hands,With the left hand,"With a nod, avoiding hand contact",Tossing the item gently to the other person.,A,Malaysia
9,9,"In Malaysian culture, how should items be given or received to show respect?",with the right hand or both hands,with a slight bow,with the left hand only,while making direct eye contact.,A,Malaysia
10,10,"In a Chilean cultural context, what is never done when greeting women that are not your close friends or relatives?",shaking hands,a kiss in the cheek,"just saying ""hi"" from a distance","briefly bowing, bending your waist",D,Chile
11,11,What advice is commonly given in Zimbabwe regarding the consumption of food to eliminate bacteria and aid digestion?,Eating food with lots of spices and herbs,Consuming food right out of the refrigerator,Eating warm or hot food,Including raw food in every meal.,C,Zimbabwe
12,12,What is a traditional greeting exchanged between two old schoolmates in Egypt?,Greetings of peace upon you,Salamo beko,El salam aliko,Peace everybody,C,Egypt
13,13,What type of weddings do Indians typically prefer?,Lavish and large weddings,Small and intimate ceremonies,Quick courthouse weddings,Destination weddings abroad.,A,India
14,14,What do Indians traditionally prefer for decorating their skin temporarily?,Henna tattoos,Temporary sticker tattoos,Airbrush tattoos,Permanent ink tattoos.,A,India
15,15,"In Japan, what language is predominantly spoken?",Japanese,English,Spanish,French.,A,Japan
16,16,"In Iranian hospitality culture, when is ""taarof"" used?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Politely offering food multiple times without the intention of actually giving it.
(ii) Sharing a meal only with close family members as a sign of intimacy.
(iii) Asking guests to remove their shoes before entering the home to keep it clean.
(iv) Insisting on paying the bill in restaurants to show generosity towards guests.","i, ii, iii, iv","i, ii","i, iv","i, iii",C,Iran
17,17,"In Korean culture, what is usually the first step a couple takes before deciding the date and location for their wedding?",Consulting a fortune-teller for an auspicious date,Sending a save-the-date to friends and family,Having a shared family meal at a restaurant involving both partners' families,Throwing a pre-wedding party for friends,C,South Korea
18,18,"In Philippine culture, what is the most popular food base?",Rice,Bread,Pasta,Noodles,A,Philippines
19,19,"In Iran, what are the ages being obligated to practice Islam?",Girls at 9 and boys at 16,Girls at 12 and boys at 13,Girls at 15 and boys at 18,Girls at 16 and boys at 21.,A,Iran
20,20,What day do families in Iran gather to celebrate Nowruz?,January 1st,July 4th,"Nowruz, on the vernal equinox",April 1st.,C,Iran
21,21,"In Israel, what is an expected occurrence when a person of a specific gender reaches the ages between 11 and 13? (not including 11 and 13)",A latina birthday party,Bar Mitzva,Jewish coming of age ritual for woman,high society coming of age ritual,C,Israel
22,22,What is not the common way for a young Yoruba man saying hello to his grandfather?,Shake hands firmly while maintaining eye contact.,Prostrate on the ground.,Bow reverently as a sign of respect.,Roll on the ground in submission.,A,Nigeria
23,23,"In Bangladesh, which festival celebration style is most likely appropriate for expressing the collective cultural identity?",Hosting a potluck where each individual brings a dish from their own ethnic background.,Celebrating only the most widely recognized national holiday.,Selecting one culture each year to highlight and exclusively celebrate its festivals.,Ignoring all cultural festivals to maintain neutrality.,B,Bangladesh
